# VMEC S, ne (m^-3), nD (m^-3), nT (m^-3), nHe (m^-3), Te (eV), TD (eV), TT (eV), THe (eV)
0.000000000000000000e+00 2.410100000000000000e+20 8.999500000000000000e+19 8.999500000000000000e+19 3.050899999999999590e+19 1.937700000000000000e+04 1.873800000000000000e+04 1.873800000000000000e+04 1.873800000000000000e+04
4.000000000000000192e-04 2.409700000000000000e+20 8.999300000000000000e+19 8.999300000000000000e+19 3.049400000000000000e+19 1.936800000000000000e+04 1.872800000000000000e+04 1.872800000000000000e+04 1.872800000000000000e+04
1.600000000000000077e-03 2.407700000000000328e+20 8.998300000000000000e+19 8.998300000000000000e+19 3.040000000000000000e+19 1.931300000000000000e+04 1.866800000000000000e+04 1.866800000000000000e+04 1.866800000000000000e+04
3.599922012510495869e-03 2.404100000000000000e+20 8.996300000000000000e+19 8.996300000000000000e+19 3.024299999999999590e+19 1.922000000000000000e+04 1.856800000000000000e+04 1.856800000000000000e+04 1.856800000000000000e+04
6.400415942287898327e-03 2.399300000000000328e+20 8.993800000000000000e+19 8.993800000000000000e+19 3.002600000000000410e+19 1.909100000000000000e+04 1.843000000000000000e+04 1.843000000000000000e+04 1.843000000000000000e+04
1.000000000000000194e-02 2.392999999999999672e+20 8.990300000000000000e+19 8.990300000000000000e+19 2.974800000000000410e+19 1.892600000000000000e+04 1.825300000000000000e+04 1.825300000000000000e+04 1.825300000000000000e+04
1.439937610346291724e-02 2.385400000000000328e+20 8.985800000000000000e+19 8.985800000000000000e+19 2.941200000000000000e+19 1.872500000000000000e+04 1.804000000000000000e+04 1.804000000000000000e+04 1.804000000000000000e+04
1.960036394527822287e-02 2.376400000000000000e+20 8.979800000000000000e+19 8.979800000000000000e+19 2.901900000000000000e+19 1.849000000000000000e+04 1.779100000000000000e+04 1.779100000000000000e+04 1.779100000000000000e+04
2.559958406615948576e-02 2.366100000000000000e+20 8.973300000000000000e+19 8.973300000000000000e+19 2.857199999999999590e+19 1.822000000000000000e+04 1.750800000000000000e+04 1.750800000000000000e+04 1.750800000000000000e+04
3.239859623279155859e-02 2.354400000000000000e+20 8.964800000000000000e+19 8.964800000000000000e+19 2.807200000000000410e+19 1.791700000000000000e+04 1.719400000000000000e+04 1.719400000000000000e+04 1.719400000000000000e+04
